aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"21,700",12,5,2006, , ,79.87,2,702,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"35,000",9,5,2006, , ,84.9,21,232,1,N, 
 ,옥인시민,11110-10,0179,0003,1971, , , ,"16,500",15,5,2006, , ,49.59,4,179-3,1,N, 
 ,동아,11110-51,0101,0000,1995, , , ,"15,000",23,5,2006, , ,59.98,3,101,1,N, 
 ,동대문상가,11110-32,0436,0064,1968, , , ,"19,000",15,5,2006, , ,40.87,5,436-64,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"40,000",18,5,2006, , ,84.9,11,4,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"21,000",10,5,2006, , ,79.87,3,702,1,N, 
 ,성용,11110-36,0640,0252,1994, , , ,"12,100",19,5,2006, , ,59.28,2,640-252,1,N, 
 ,아남2,11110-92,0236,0000,1996, , , ,"27,800",17,5,2006, , ,59.4,5,236,1,N, 
 ,동문(482-0),11110-132,0482,0000,2002, , , ,"14,000",1,5,2006, , ,59.64,2,482,1,N, 
 ,청운현대,11110-4,0056,0045,2000, , , ,"43,000",5,5,2006, , ,78.78,1,56-45,1,N, 
 ,삼성,11110-73,0596,0000,1998, , , ,"18,800",1,5,2006, , ,59.97,12,596,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"16,000",15,5,2006, , ,64.66,12,703,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"22,150",16,5,2006, , ,79.87,4,702,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"13,450",1,5,2006, , ,54.7,12,703,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"43,300",9,5,2006, , ,84.92,12,82,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"32,500",4,5,2006, , ,115.53,5,703,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"19,000",3,5,2006, , ,59.95,23,232,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"60,000",2,5,2006, , ,114.9,16,82,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"31,000",26,6,2006, , ,106.62,12,703,1,N, 
 ,일우,11110-130,0602,0000,2002, , , ,"15,750",26,6,2006, , ,59.3,6,602,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"15,500",24,6,2006, , ,64.66,10,703,1,N, 
 ,MID그린(2동),11110-153,0601,0001,2002, , , ,"15,200",29,6,2006, , ,54.72,5,601-1,1,N, 
 ,MID그린(2동),11110-153,0601,0001,2002, , , ,"15,000",2,6,2006, , ,59.47,5,601-1,1,N, 
 ,갑을아파트,11110-68,0595,0000,1997, , , ,"6,000",20,6,2006, , ,30.55,13,595,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"40,500",23,6,2006, , ,84.9,7,232,1,N, 
 ,동대문상가,11110-32,0436,0064,1968, , , ,"20,000",19,6,2006, , ,40.87,4,436-64,1,N, 
 ,두산,11110-34,0232,0000,1999, , , ,"24,300",16,6,2006, , ,59.95,10,232,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"38,900",10,6,2006, , ,84.92,3,82,1,N, 
 ,창신쌍용1,11110-37,0702,0000,1992, , , ,"22,850",26,6,2006, , ,79.87,6,702,1,N, 
 ,형우럭스빌(33-1),11110-2073,0033,0001,2005, , , ,"36,000",19,6,2006, , ,103.07,4,33-1,1,N, 
 ,아남1,11110-25,0004,0000,1995, , , ,"46,500",19,6,2006, , ,84.9,10,4,1,N, 
 ,동대문상가,11110-32,0436,0064,1968, , , ,"21,000",17,6,2006, , ,40.87,5,436-64,1,N, 
 ,현대,11110-90,0082,0000,2000, , , ,"38,500",27,6,2006, , ,84.92,9,82,1,N, 
 ,창신쌍용2,11110-91,0703,0000,1993, , , ,"31,000",21,6,2006, , ,106.62,4,703,1,N, 
