동,아파트이름,아파트일련번호,번지,부번,건축년도,매수구분,거래유형,거래금액,거래구분,부동산소속시군구명,전용면적,층수,지번,토지코드,토지임대여부,등록일자,거래날짜
 ,동아,11110-51,101,0,1995, , ,"15,000", , ,59.98,3,101,1,N, ,2006-05-23
 ,동대문상가,11110-32,436,64,1968, , ,"19,000", , ,40.87,5,436-64,1,N, ,2006-05-15
 ,아남1,11110-25,4,0,1995, , ,"40,000", , ,84.9,11,4,1,N, ,2006-05-18
 ,창신쌍용1,11110-37,702,0,1992, , ,"21,000", , ,79.87,3,702,1,N, ,2006-05-10
 ,성용,11110-36,640,252,1994, , ,"12,100", , ,59.28,2,640-252,1,N, ,2006-05-19
 ,아남2,11110-92,236,0,1996, , ,"27,800", , ,59.4,5,236,1,N, ,2006-05-17
 ,동문(482-0),11110-132,482,0,2002, , ,"14,000", , ,59.64,2,482,1,N, ,2006-05-01
 ,청운현대,11110-4,56,45,2000, , ,"43,000", , ,78.78,1,56-45,1,N, ,2006-05-05
 ,삼성,11110-73,596,0,1998, , ,"18,800", , ,59.97,12,596,1,N, ,2006-05-01
 ,창신쌍용2,11110-91,703,0,1993, , ,"16,000", , ,64.66,12,703,1,N, ,2006-05-15
 ,창신쌍용1,11110-37,702,0,1992, , ,"22,150", , ,79.87,4,702,1,N, ,2006-05-16
 ,창신쌍용2,11110-91,703,0,1993, , ,"13,450", , ,54.7,12,703,1,N, ,2006-05-01
 ,현대,11110-90,82,0,2000, , ,"43,300", , ,84.92,12,82,1,N, ,2006-05-09
 ,창신쌍용2,11110-91,703,0,1993, , ,"32,500", , ,115.53,5,703,1,N, ,2006-05-04
 ,두산,11110-34,232,0,1999, , ,"19,000", , ,59.95,23,232,1,N, ,2006-05-03
 ,현대,11110-90,82,0,2000, , ,"60,000", , ,114.9,16,82,1,N, ,2006-05-02
 ,창신쌍용2,11110-91,703,0,1993, , ,"31,000", , ,106.62,12,703,1,N, ,2006-06-26
 ,일우,11110-130,602,0,2002, , ,"15,750", , ,59.3,6,602,1,N, ,2006-06-26
 ,창신쌍용2,11110-91,703,0,1993, , ,"15,500", , ,64.66,10,703,1,N, ,2006-06-24
 ,MID그린(2동),11110-153,601,1,2002, , ,"15,200", , ,54.72,5,601-1,1,N, ,2006-06-29
 ,MID그린(2동),11110-153,601,1,2002, , ,"15,000", , ,59.47,5,601-1,1,N, ,2006-06-02
 ,갑을아파트,11110-68,595,0,1997, , ,"6,000", , ,30.55,13,595,1,N, ,2006-06-20
 ,두산,11110-34,232,0,1999, , ,"40,500", , ,84.9,7,232,1,N, ,2006-06-23
 ,동대문상가,11110-32,436,64,1968, , ,"20,000", , ,40.87,4,436-64,1,N, ,2006-06-19
 ,두산,11110-34,232,0,1999, , ,"24,300", , ,59.95,10,232,1,N, ,2006-06-16
 ,현대,11110-90,82,0,2000, , ,"38,900", , ,84.92,3,82,1,N, ,2006-06-10
 ,창신쌍용1,11110-37,702,0,1992, , ,"22,850", , ,79.87,6,702,1,N, ,2006-06-26
 ,형우럭스빌(33-1),11110-2073,33,1,2005, , ,"36,000", , ,103.07,4,33-1,1,N, ,2006-06-19
 ,아남1,11110-25,4,0,1995, , ,"46,500", , ,84.9,10,4,1,N, ,2006-06-19
 ,동대문상가,11110-32,436,64,1968, , ,"21,000", , ,40.87,5,436-64,1,N, ,2006-06-17
 ,현대,11110-90,82,0,2000, , ,"38,500", , ,84.92,9,82,1,N, ,2006-06-27
 ,창신쌍용2,11110-91,703,0,1993, , ,"31,000", , ,106.62,4,703,1,N, ,2006-06-21
 ,형우럭스빌(33-1),11110-2073,33,1,2005, , ,"37,000", , ,103.07,5,33-1,1,N, ,2006-06-19
 ,창신쌍용1,11110-37,702,0,1992, , ,"31,000", , ,106.62,7,702,1,N, ,2006-06-08
